,time,open,high,low,close,tick_volume,spread,real_volume
0,2021-06-21 20:00:00,1.1918,1.19183,1.1917,1.19175,241,15,36150000
1,2021-06-21 20:01:00,1.19176,1.19194,1.19176,1.19187,143,15,21450000
2,2021-06-21 20:02:00,1.19187,1.19187,1.1918199999999999,1.1918199999999999,65,16,9750000
3,2021-06-21 20:03:00,1.1918199999999999,1.1919,1.1918199999999999,1.1919,64,16,9600000
4,2021-06-21 20:04:00,1.1919,1.19194,1.19189,1.19193,58,15,8700000
5,2021-06-21 20:05:00,1.19193,1.19195,1.19193,1.19194,46,15,6900000
6,2021-06-21 20:06:00,1.19194,1.19194,1.19178,1.19184,58,15,8700000
7,2021-06-21 20:07:00,1.19184,1.19185,1.19183,1.19183,50,15,7500000
8,2021-06-21 20:08:00,1.19183,1.19183,1.19173,1.19174,84,15,12600000
9,2021-06-21 20:09:00,1.19174,1.19174,1.1917200000000001,1.19174,58,16,8700000
10,2021-06-21 20:10:00,1.19174,1.19184,1.19174,1.19181,113,15,16950000
11,2021-06-21 20:11:00,1.19181,1.19184,1.19179,1.1918,92,15,13800000
12,2021-06-21 20:12:00,1.1918,1.19184,1.19179,1.19184,108,15,16200000
13,2021-06-21 20:13:00,1.19184,1.19184,1.19174,1.19175,84,15,12600000
14,2021-06-21 20:14:00,1.19175,1.19187,1.19174,1.19186,111,15,16650000
15,2021-06-21 20:15:00,1.19186,1.19186,1.19184,1.19184,48,15,7200000
16,2021-06-21 20:16:00,1.19184,1.19184,1.19184,1.19184,35,16,5250000
17,2021-06-21 20:17:00,1.19184,1.19184,1.19178,1.19178,63,15,9450000
18,2021-06-21 20:18:00,1.19178,1.19178,1.19174,1.19174,116,15,17400000
19,2021-06-21 20:19:00,1.19174,1.19174,1.19169,1.19171,134,15,20100000
20,2021-06-21 20:20:00,1.19171,1.19173,1.19169,1.1917200000000001,155,15,23250000
21,2021-06-21 20:21:00,1.1917200000000001,1.19184,1.1917200000000001,1.19184,110,15,16500000
22,2021-06-21 20:22:00,1.19184,1.19184,1.1918,1.1918,83,15,12450000
23,2021-06-21 20:23:00,1.1918,1.1918,1.19173,1.19173,118,15,17700000
24,2021-06-21 20:24:00,1.19173,1.19183,1.1917200000000001,1.1918,107,15,16050000
25,2021-06-21 20:25:00,1.1918,1.1918,1.19173,1.19174,174,15,26100000
26,2021-06-21 20:26:00,1.19174,1.19175,1.1917,1.1917200000000001,115,15,17250000
27,2021-06-21 20:27:00,1.1917200000000001,1.1917200000000001,1.19171,1.19171,33,16,4950000
28,2021-06-21 20:28:00,1.19171,1.19175,1.1917,1.19174,48,15,7200000
29,2021-06-21 20:29:00,1.19174,1.19174,1.19174,1.19174,29,15,4350000
30,2021-06-21 20:30:00,1.19174,1.19183,1.19174,1.19174,167,15,25050000
31,2021-06-21 20:31:00,1.19174,1.19174,1.19164,1.19164,135,15,20250000
32,2021-06-21 20:32:00,1.19164,1.19164,1.19154,1.1915499999999999,187,15,28050000
33,2021-06-21 20:33:00,1.1915499999999999,1.19158,1.1915499999999999,1.19157,141,15,21150000
34,2021-06-21 20:34:00,1.19156,1.19158,1.19153,1.19156,256,15,38400000
35,2021-06-21 20:35:00,1.19156,1.19162,1.19154,1.19154,241,15,36150000
36,2021-06-21 20:36:00,1.19154,1.1915499999999999,1.19147,1.19147,171,15,25650000
